target,M0,M1,M2,M1-M0,M2-M1,beta1,beta2
2018-2019,0.6994934084041156,0.6983330176669577,0.6931587983878877,-0.0011603907371579014,-0.005174219279069914,"[-0.1372007727075748, 0.3605614867096295]","[-0.142194375921817, -0.24661108144409677, -0.45937943763676997]"
2019-2020,0.7112656209467615,0.692222941219512,0.6940410784461373,-0.01904267972724949,0.0018181372266252716,"[-0.017416007233681405, -0.0613820574478354]","[-0.04426688437647679, -0.9103377290769188, -0.6859777280806854]"
2020-2021,0.7082080995894837,0.6887857227011667,0.698116813611134,-0.01942237688831705,0.00933109090996731,"[0.004073452136730247, -0.4889909430958872]","[-0.02049386001217968, -1.1432480386859938, -0.5463580747899952]"
2021-2022,0.7032006122158637,0.6895254705271017,0.6896726562755282,-0.01367514168876205,0.0001471857484265371,"[-0.004313651031992023, -0.7003367250810542]","[-0.010554102784454575, -0.9020970352254575, -0.16013269477980002]"
2022-2023,0.7001532750054098,0.6926355383280087,0.6907086505952315,-0.007517736677401077,-0.0019268877327772715,"[0.0034922729726955984, -0.7995032999586011]","[0.000630485101716573, -0.96237717231938, -0.1233269267794753]"
