target,b0,b_base,league_over,home_gf,home_ga,home_over,away_gf,away_ga,away_over
2018-2019,-0.48261578211165057,-0.22737877825720118,0.08924381825252228,0.44077219804331386,0.458221786532109,-1.7736038543527874,0.5180635484654179,0.18056611682643203,-1.7450390766082604
2019-2020,0.716691969438455,-0.2044373289796138,-0.4459577912863591,-0.0277481246620752,-0.12831594644154964,-0.09462073376530979,0.22777076941247076,0.006416751083309148,-1.1944491606113492
2020-2021,-0.6020779070681642,-0.13620232875396793,0.7697123205933744,0.02471149858562881,0.05995591081479118,-0.3569884100539288,0.3328710409585287,0.20979192165146635,-0.8786359677428452
2021-2022,-0.2524350021604638,0.17745179248047538,0.40426750296307723,-0.020337307321002557,0.02226690735799315,-0.12774930225330683,0.14735203166058478,0.033856704766876924,-0.2594340932185615
2022-2023,-0.40465784421791307,0.1616523076222667,0.7157589358078837,0.05451879894968658,0.012559035626859727,-0.4143072986971252,0.10865823262059766,0.11635116087010504,-0.31658115291353195
