league,target,split_a,split_b,split_c,share_at_2.6,mult_home_lead,mult_home_level,mult_home_trail,mult_away_lead,mult_away_level,mult_away_trail
league_one_t3,2018-2019,0.4441377510455568,-0.005158690696765091,0.003555575875502735,0.4314362704090681,0.9530283255810676,0.9882407659792809,1.0581486997410996,1.0010078727302245,0.9670673084184815,1.0218508698314495
league_one_t3,2019-2020,0.42203330309551296,-0.0006674313265113232,0.02132599548728382,0.42456318074404026,0.9575315327985595,0.9821845305922972,1.0639063411388885,1.007890156932275,0.966685094623819,1.023477162052511
league_one_t3,2020-2021,0.46610659577322977,-0.014140829143974697,0.00907550050176493,0.4311555400992485,0.9643803946098424,0.986394281389195,1.0683303870990786,1.0114818660015479,0.9571120609114518,1.0136079362800792
league_one_t3,2021-2022,0.48342787615269267,-0.01921815839483145,0.013428124782250372,0.436146289282581,0.9688929046029843,0.9916120170301268,1.0471606396117317,1.0156144650283476,0.9593627636586259,1.0183877581023122
league_one_t3,2022-2023,0.44995244432412707,-0.006745827680639304,0.01335922266483655,0.4350851368874322,0.9682357724556392,0.992416525222775,1.0609110085473332,1.0205894585665443,0.9537662861706164,1.0218700727313348
ligue_2_t2,2018-2019,0.39477606843503416,0.0057279597089829925,0.041061251418055826,0.4178810139620011,0.9870402679703012,1.0044664658657303,1.0459066803961354,1.0318320436393917,0.9814740542428892,1.1324016477216299
ligue_2_t2,2019-2020,0.3640670369095725,0.019030347273181113,0.0554264209042443,0.42463122400069225,0.9947785267236604,0.9796440614303948,1.01987842191044,1.0502945395246797,0.9728753563142736,1.104023595392674
ligue_2_t2,2020-2021,0.35393130000096934,0.020973327762358322,0.06659135753410445,0.4217802236899219,0.9938085297149802,0.9742997578436353,1.007598789195193,1.0481952990170904,0.9714832535684799,1.1068045080478104
ligue_2_t2,2021-2022,0.3835919508869094,0.009496156907844538,0.04838766746211884,0.41795949233972896,0.9860927182655858,0.9870045953226687,1.0066771736279119,1.0452811572166707,0.9553389954054763,1.1048643651874497
ligue_2_t2,2022-2023,0.36530478078971135,0.01909307199840979,0.045491393129866366,0.42404504661155007,0.9819160605851391,0.9849179028186432,1.013593720402473,1.0326709239570375,0.9611120334621356,1.095645472047393
bundesliga_2,2018-2019,0.556908628786443,-0.06235257973331366,0.03322621201485535,0.4014371638827986,0.9605127331918542,0.9757308782638298,1.023517565001923,1.0212971034865104,1.018723906229453,1.04837961368474
bundesliga_2,2019-2020,0.46646547531590704,-0.025408357832599277,0.01799935512768075,0.4040036159766851,0.9774301193047774,0.9929099301828399,1.0383775067063377,1.0153113895214285,1.02095228776609,1.0493726670607386
bundesliga_2,2020-2021,0.444370463269666,-0.013067982462572288,-0.0013698654989130932,0.41011973576719546,0.9946038700151614,0.9810824901486686,1.0374087460508146,1.022323433218185,1.006303404820461,1.0301079224583631
bundesliga_2,2021-2022,0.41164577642945477,0.0025498184198917036,-0.006797317890250319,0.41691584074312316,1.0010347432018234,0.9911127195737807,1.0454773989051753,1.028715125238647,0.9990162984333129,1.02951594368581
bundesliga_2,2022-2023,0.37408551676373125,0.01642355367758105,-0.0038285154818356853,0.41602105322907484,1.0008959243427165,0.9864568081454941,1.0368726155273698,1.0300658687116957,1.0054260450123502,1.0226022815376083
bundesliga_1,2018-2019,0.34011543747536305,0.0408681211944857,-0.01295732765950735,0.44378108704912433,0.9949723907408868,1.0000535667829729,1.013687065039408,1.0604945486009154,0.9445197077668066,1.056331021178791
bundesliga_1,2019-2020,0.40702518829247725,0.011411396813150721,-0.0021489911600386926,0.43626502177466137,1.0086249439171788,1.0013762246899234,1.0126763655864086,1.0725503155503393,0.9492882577825708,1.0449730974421763
bundesliga_1,2020-2021,0.3627112257154142,0.02698752018091551,-0.00865369322780788,0.43114803954023295,1.0180887257810434,0.9928063339696791,0.9928341301536829,1.066450941643581,0.9649484063079398,1.0445719697622522
bundesliga_1,2021-2022,0.32717821465066765,0.03935884748927815,-0.01571765812755772,0.42636768649727924,1.0201952270666927,0.9850492492566176,1.0094170079854774,1.0449879678121876,0.9533150783413418,1.0350827273241583
bundesliga_1,2022-2023,0.3233574278669271,0.04194160615667245,-0.016455228850691842,0.42911455810413707,1.0263469857132435,0.9858909224533309,1.0207707651560725,1.0342011161278413,0.9536474519076372,1.025340393838451
