target,b_mkt,b_h5,b_h10,b_a5,b_a10,probe,M1
2018-2019,0.27727038101553214,-0.06328999060005401,0.05182983311752264,0.026799572458762577,-0.1436703096374847,0.6969152498535737,0.6987834747412908
2019-2020,-0.35037815588405485,-0.1562590434729883,0.0030944797178415065,0.01698101114739932,-0.19906847466923952,0.6956966260972558,0.6921981952352237
2020-2021,-0.6424007490156136,-0.16667791206274676,0.027735305443910507,0.09724993985484184,-0.12704273745692923,0.6937185031673615,0.688868830009836
2021-2022,-0.7944391875530048,-0.09577793230682206,0.033552290622960654,0.023154472717542555,-0.049538275311192204,0.6867336990254115,0.6897390396678704
2022-2023,-0.9264396188727253,-0.16106461906079822,0.05647762530119806,0.02677720959708623,-0.04318973938548709,0.6923200269679312,0.6925963339559524
