league,season,market,n_rows,n_pinnacle,n_b365,share_b365,median_raw_gap_b365,median_demargined_gap_b365,n_average,share_average,median_raw_gap_average,median_demargined_gap_average
league_one_t3,2020-2021,1X2,552,551,551,99.8,0.00750750750750756,,551,99.8,0.01013363734245365,0.003347184344587195
league_one_t3,2020-2021,OU2.5,552,551,551,99.8,0.010693662222855949,0.005499733439339433,551,99.8,0.01052050182793729,0.00400368378686497
league_one_t3,2020-2021,AH,552,551,549,99.5,0.00603810041360997,0.00417835104687192,551,99.8,0.0080545562055655,0.0036327369889337935
league_one_t3,2021-2022,1X2,552,552,552,100.0,0.007541162190118578,0.00686180277997353,552,100.0,0.007630704841806141,0.00403617929302745
league_one_t3,2021-2022,OU2.5,552,552,552,100.0,0.00910746812386165,0.006014184339349471,552,100.0,0.008267195767195812,0.00459040707616043
league_one_t3,2021-2022,AH,552,552,552,100.0,0.007035647279549806,0.005378571042665203,552,100.0,0.006173030031791038,0.004099063239955181
league_one_t3,2022-2023,1X2,552,552,552,100.0,0.00823599880203657,0.007020823370211773,552,100.0,0.009523809677380729,0.0035836294143077457
league_one_t3,2022-2023,OU2.5,552,552,552,100.0,0.008181074447777381,0.0060101868447768325,552,100.0,0.012658953223985192,0.004592743211062733
league_one_t3,2022-2023,AH,552,552,551,99.8,0.0075380672395597426,0.005905289951873505,552,100.0,0.011318619128466323,0.0040139479339385
ligue_2_t2,2017-2018,1X2,380,379,379,99.7,0.01285629704812652,0.008922884460846214,0,0.0,,
ligue_2_t2,2017-2018,OU2.5,380,0,0,0.0,,,0,0.0,,
ligue_2_t2,2017-2018,AH,380,0,0,0.0,,,0,0.0,,
ligue_2_t2,2018-2019,1X2,380,377,377,99.2,0.01233262861169837,0.009635495105212999,0,0.0,,
ligue_2_t2,2018-2019,OU2.5,380,0,0,0.0,,,0,0.0,,
ligue_2_t2,2018-2019,AH,380,0,0,0.0,,,0,0.0,,
ligue_2_t2,2019-2020,1X2,280,277,277,98.9,0.011834319526627224,0.00944631590929318,277,98.9,0.01115751219356692,0.004377593776174693
ligue_2_t2,2019-2020,OU2.5,280,277,277,98.9,0.011673060453548295,0.005583563958046822,277,98.9,0.009545190400445602,0.004159833475922636
ligue_2_t2,2019-2020,AH,280,277,276,98.6,0.005781182251770489,0.004075799037508099,277,98.9,0.006771244797744991,0.003198156226486032
ligue_2_t2,2020-2021,1X2,380,379,376,98.9,0.01412622692584009,0.010319447123393263,379,99.7,0.011054165410511518,0.004302628178240453
ligue_2_t2,2020-2021,OU2.5,380,379,373,98.2,0.010693662222855949,0.005027528528232822,379,99.7,0.008889283968176342,0.004164089427207224
ligue_2_t2,2020-2021,AH,380,379,375,98.7,0.005781182251770489,0.004230452356971115,379,99.7,0.007069969135654386,0.004045325832102958
ligue_2_t2,2021-2022,1X2,380,380,377,99.2,0.014711575687185396,0.01040486026524623,380,100.0,0.00882442723032617,0.0056840365881953014
ligue_2_t2,2021-2022,OU2.5,380,380,376,98.9,0.010781103713040863,0.006820827000640489,380,100.0,0.008781492023891918,0.004578328507951757
ligue_2_t2,2021-2022,AH,380,380,376,98.9,0.00590754689115347,0.005171158252505026,380,100.0,0.006139018068398616,0.00424078461015992
ligue_2_t2,2022-2023,1X2,380,375,375,98.7,0.014471243042671611,0.008780697334950072,375,98.7,0.011054165410511518,0.005190792216652473
ligue_2_t2,2022-2023,OU2.5,380,375,375,98.7,0.011492061870919112,0.006146395851200803,375,98.7,0.011942675159235638,0.004907051878365987
ligue_2_t2,2022-2023,AH,380,375,375,98.7,0.0075380672395597426,0.005188501909488219,375,98.7,0.010908843011266656,0.003994680919155641
