rule,side,n,hits,hit_rate,ci_low,ci_high,mean_model_p,mean_market_p,mean_odds,break_even,clears_break_even
both bottom third -> UNDER 2.5,under,531,259,0.487758945386064,0.44548411073780597,0.5302096273708229,0.5651688643610552,0.5334905913287236,1.777062146892655,0.562726521269155,False
both top third    -> OVER 2.5,over,620,289,0.4661290322580645,0.4271908059174855,0.50548441163774,0.5134710370305013,0.5009097465906549,1.8949516129032256,0.5277179602849678,False
