selection,scheme,bin,n,hit_rate,ci_low,ci_high,mean_odds,break_even,ci_above_break_even
home,model,0.0-0.1,5,0.4,0.1176182311592533,0.769280067791163,6.287999999999999,0.17344811647124309,False
home,model,0.1-0.2,130,0.15384615384615385,0.101853111526678,0.22571021706473152,4.519384615384615,0.2389465595663994,False
home,model,0.2-0.3,422,0.3127962085308057,0.27041687422810057,0.35855314654957826,3.4072037914691946,0.3079892087771283,False
home,model,0.3-0.4,819,0.3772893772893773,0.3447382329824239,0.410986319592458,2.7017338217338214,0.38804019026090364,False
home,model,0.4-0.5,906,0.4359823399558499,0.4040293962604553,0.468475883779499,2.234801324503311,0.45874740730796304,False
home,model,0.5-0.6,528,0.5284090909090909,0.48577732316844613,0.5706304493713477,1.9051893939393938,0.5354832869167727,False
home,model,0.6-0.7,262,0.5992366412213741,0.5388753173730818,0.6567298851234424,1.6231679389312976,0.6269973115435755,False
home,model,0.7-0.8,80,0.725,0.618557347158301,0.8108237715226401,1.487375,0.6800046618557473,False
home,model,0.8-0.9,7,1.0,0.6456611570247934,1.0,1.3399999999999999,0.7482127050253512,False
home,market,0.0-0.1,1,0.0,0.0,0.7934567085261071,34.14,0.029291154071470416,False
home,market,0.1-0.2,87,0.09195402298850575,0.04733232597752604,0.1710874288484568,5.614597701149426,0.18219709780056234,False
home,market,0.2-0.3,424,0.24764150943396226,0.20894327465860316,0.290871610102486,3.67625,0.275222461856471,False
home,market,0.3-0.4,972,0.3775720164609053,0.34763354737149216,0.40847441113324884,2.668508230452675,0.377075777049656,False
home,market,0.4-0.5,923,0.4528710725893825,0.4210189616883879,0.4851138661864075,2.10738894907909,0.47641088534748804,False
home,market,0.5-0.6,518,0.5772200772200772,0.5342625634959735,0.6190406610840522,1.7301544401544402,0.5795149371126685,False
home,market,0.6-0.7,198,0.6666666666666666,0.5983826263796316,0.7286064581302018,1.4699999999999998,0.6815309044288437,False
home,market,0.7-0.8,34,0.8235294117647058,0.6648593225994784,0.9165114439643031,1.2926470588235295,0.7742488039349018,False
home,market,0.8-0.9,2,1.0,0.34237195288961925,1.0,1.1749999999999998,0.8510792409097494,False
draw,model,0.1-0.2,163,0.2085889570552147,0.15328227961519503,0.2773153650969151,4.37239263803681,0.2333271937501789,False
draw,model,0.2-0.3,2707,0.2659770964166975,0.24967203420885153,0.2829454377968902,3.4843849279645362,0.28879593833486444,False
draw,model,0.3-0.4,289,0.24567474048442905,0.1995923781692639,0.29842976076181693,3.296989619377163,0.3054248649649953,False
draw,market,0.0-0.1,1,0.0,0.0,0.7934567085261071,9.59,0.10427528675703858,False
draw,market,0.1-0.2,59,0.15254237288135594,0.08238371089067363,0.26518223268810226,5.220847457627119,0.19303096242201354,False
draw,market,0.2-0.3,3013,0.2638566213076668,0.24842747957531156,0.27988716578094447,3.4900896116827083,0.2882859873688109,False
draw,market,0.3-0.4,86,0.2441860465116279,0.16561843751812289,0.3446307120963096,3.0755813953488373,0.3252551350785782,False
away,model,0.0-0.1,68,0.07352941176470588,0.03181437515487155,0.160853939581994,7.352941176470587,0.15006781875662858,False
away,model,0.1-0.2,499,0.1623246492985972,0.13257057496937083,0.19723825548538862,5.301122244488978,0.20486144493352704,False
away,model,0.2-0.3,1013,0.26554787759131293,0.2392746377603845,0.2935926249479861,3.6209575518262587,0.2896911731618944,False
away,model,0.3-0.4,909,0.3278327832783278,0.29809619469477533,0.3590184679148164,2.867920792079208,0.3620813049997061,False
away,model,0.4-0.5,423,0.4326241134751773,0.38622489619013944,0.4802361047994548,2.3432624113475176,0.43938219521625743,False
away,model,0.5-0.6,188,0.5478723404255319,0.4764776316196176,0.6173497759916616,2.0238829787234045,0.516291666549892,False
away,model,0.6-0.7,53,0.6037735849056604,0.4694123578888073,0.7241078808096105,1.7850943396226415,0.57391942688911,False
away,model,0.7-0.8,6,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.5883333333333336,0.6393564090057188,False
away,market,0.0-0.1,24,0.041666666666666664,0.007393265354805126,0.20242226248842232,11.155000000000001,0.09178178482093506,False
away,market,0.1-0.2,443,0.1399548532731377,0.11073293523954596,0.17536755316618885,5.974198645598194,0.1723729485478787,False
