target,b0,b_mkt,b_model,blend,market
2018-2019,-0.14219436955535683,0.24661084094950986,-0.4593793221877768,0.6931587993651582,0.6947729409928013
2019-2020,-0.044266880841187996,0.9103376810043269,-0.6859777446799278,0.6940410794198717,0.6840622437087799
2020-2021,-0.020493833879922357,1.1432480202902477,-0.5463580655406377,0.6981168139717616,0.6861042638898172
2021-2022,-0.010554087968454959,0.9020971668900183,-0.16013273214623405,0.6896726560591553,0.688822868381233
2022-2023,0.0006305104206387388,0.9623771956968094,-0.12332693988668718,0.6907086509052534,0.6931145067866602
