,model_minus_market,ci_low,ci_high,model_minus_psc,blend_minus_market,blend_ci_low,blend_ci_high,M0,M1_minus_M0,M2_minus_M1,tripwire_seasons,calibrated_markets,bins_inspected,bins_clearing_market_avg,bins_clearing_pinnacle
ligue_2_t2,0.018741842446201834,0.012074719019480488,0.026100483984126375,0.02380474062247816,0.000944007622991585,-0.001452789057848212,0.0032994473525984466,0.6702148585929648,0.0010511882746473678,0.0007376207115866063,none,10,84,0,0
bundesliga_2,0.01774361715791134,0.009955556747487082,0.02551769024327267,0.019193019887378173,0.0037683610388155584,-0.0004498573819414367,0.008337141050418191,0.6781669089778802,-0.0006327155419354544,0.0008409732374896642,none,7,74,1,0
bundesliga_1,0.018184274329040767,0.011036107411166295,0.025635778521476464,0.019095342075214173,0.00038000947675214845,-0.003372947121969448,0.004334535269578786,0.6545792179876724,0.0013277264589256577,0.010667795941218488,none,16,90,1,2
