market,label,n,base_rate,mean_pred,log_loss,naive_log_loss,ll_gain_vs_naive,slope,intercept,ece,overconfident_bins
p_away_under35,Away & Under 3.5,3160,0.23069620253164558,0.22947912357549322,0.5234083083763807,0.54011620335412,0.01670789497773928,0.9226960016449086,-0.08213748841904768,0.010096957344540084,0
p_dc_12,DC 12,3160,0.7389240506329114,0.7389498424371908,0.5747446925440701,0.5741793205313973,-0.0005653720126728157,0.40161641482736976,0.6205805860381719,0.012242293438597002,2
p_draw,1X2 draw,3160,0.2610759493670886,0.2610501575628093,0.5747446925440701,0.5741793205313973,-0.0005653720126728157,0.4016163159430858,-0.6205807069469336,0.012242293438597049,0
p_dc_1x,DC 1X,3160,0.6914556962025317,0.6887375158169562,0.5856884150091377,0.6179309761457441,0.032242561136606396,0.9545975701024549,0.04706024010657116,0.012768803685515086,2
p_away,1X2 away,3160,0.30854430379746833,0.31126248418304386,0.5856884150091377,0.6179309761457441,0.032242561136606396,0.9545975569399033,-0.04706025216684729,0.012768803685515131,2
p_home_under35,Home & Under 3.5,3160,0.30949367088607593,0.300881608619685,0.6086743470524687,0.618694941276017,0.010020594223548285,0.7981937429440876,-0.12315344947236624,0.01465364001633451,0
p_home_over15,Home & Over 1.5,3160,0.3265822784810127,0.32499771946861716,0.6143374123904857,0.6317317945249505,0.01739438213446487,0.7279806395806994,-0.18017970146677542,0.02068163899874842,2
p_draw_under25,Draw & Under 2.5,3160,0.1971518987341772,0.20500966630933978,0.4987970663152036,0.4964286768632484,-0.0023683894519552218,0.27040896365117384,-1.03412995663646,0.02406271493942151,0
p_home_btts_no,Home & BTTS no,3160,0.2389240506329114,0.24254669787220617,0.5368745351233859,0.5498365266153311,0.012961991491945213,0.7971823232465708,-0.2416601112530657,0.024301795185624194,0
p_home,1X2 home,3160,0.43037974683544306,0.4276873582541468,0.657340423650602,0.6834216514972257,0.0260812278466237,0.8231675634223041,-0.036700975161836055,0.025389668172723978,2
p_dc_x2,DC X2,3160,0.569620253164557,0.5723126417458532,0.657340423650602,0.6834216514972257,0.0260812278466237,0.8231675069002321,0.036700998215281735,0.02538966817272403,3
p_home_or_draw_under25,Home or Draw & Under 2.5,3160,0.3810126582278481,0.38478727378547417,0.669849810992874,0.6645576960400243,-0.005292114952849647,0.27002957545089595,-0.3562570969850789,0.032201126322501356,1
p_under35,Under 3.5,3160,0.7373417721518988,0.7353703985045179,0.5854472405229423,0.5758190169795516,-0.009628223543390657,0.16387041845913836,0.8599787745820673,0.04624729779004224,3
p_over35,Over 3.5,3160,0.2626582278481013,0.26462960149548204,0.5854472405229423,0.5758190169795517,-0.009628223543390546,0.16387047720951725,-0.8599786749290879,0.04624729779004225,1
p_over15,Over 1.5,3160,0.7376582278481013,0.7289574279462341,0.5851872088716954,0.5754921134798473,-0.009695095391848096,0.07364476234132683,0.9591816843552526,0.04728909293162096,3
p_under15,Under 1.5,3160,0.26234177215189874,0.2710425720537659,0.5851872088716954,0.5754921134798473,-0.009695095391848096,0.07364477435250688,-0.9591816787258494,0.04728909293162097,1
p_under25_btts_no,Under 2.5 & BTTS no,3160,0.3933544303797468,0.401729815465626,0.6811101782518171,0.6702249397561747,-0.01088523849564238,0.046997635303680625,-0.41408607287498655,0.04898359269051567,2
p_btts,BTTS yes,3160,0.5110759493670886,0.5021194658821859,0.7024113649533951,0.692901807181159,-0.009509557772236055,0.001250032554716369,0.04430071846541567,0.051828883687181845,2
p_btts_no,BTTS no,3160,0.4889240506329114,0.497880534117814,0.7024113649533951,0.692901807181159,-0.009509557772236055,0.001249985378158241,-0.04430069098852773,0.051828883687181845,3
p_over25_btts_yes,Over 2.5 & BTTS yes,3160,0.3895569620253165,0.38061228045741385,0.680817888932867,0.6685494979644345,-0.012268390968432463,-0.010835416657492145,-0.4545833222410637,0.055600595079737254,1
p_over25,Over 2.5,3160,0.485126582278481,0.476762999109602,0.7061188334806963,0.6927046781772029,-0.013414155303493325,0.05717616624756538,-0.05404639075009762,0.06475772848794142,2
p_under25,Under 2.5,3160,0.514873417721519,0.523237000890398,0.7061188334806963,0.6927046781772029,-0.013414155303493325,0.05717618067009771,0.05404645127071506,0.06475772848794144,2
