metric,value,ci_low,ci_high
layer_model_diff,0.004643174192212025,0.0015352922955264915,0.007940585747225627
layer_market_diff,0.004727480513034414,0.001649853534460706,0.007979182025160033
layer_model_diff_w20,0.00531864494193892,0.0019554959287496035,0.008778763741020785
layer_market_diff_w20,0.007294271479039401,0.0035415689802212043,0.011272695530654272
