xi,covid,tune_1x2,tune_ou25,val_1x2,report_2019_20,n_tune,seconds
0.002,include,1.0551808214542682,0.7055097995924992,1.0295866438167844,1.0419288288632864,1656,23.236111600068398
0.003,include,1.0552577005197226,0.7082357726179445,1.0285335753923968,1.0399385641967915,1656,22.521920600091107
0.0015,include,1.0560432142467484,0.7046876052059504,1.0300470729937852,1.0442857752897168,1656,22.276454400038347
0.001,include,1.0578905705616168,0.7044074697155688,1.030210221151234,1.0480514619115977,1656,22.250114000053145
0.005,include,1.0585726254884946,0.7150870894178992,1.0277628203160059,1.0403641293784573,1656,22.89321710006334
0.0005,include,1.0609834297155596,0.7047720954057423,1.0298266021112696,1.0531948737377212,1656,22.820021399995312
0.0015,drop 2020-21,1.0698129707569048,0.7041191818304542,1.0185048221239028,1.0442857752897168,1656,25.301259899977595
0.001,drop 2020-21,1.069855205276385,0.7039528387263024,1.0193513972391983,1.0480514619115977,1656,22.97759650007356
0.002,drop 2020-21,1.0699396621179575,0.7046046245444622,1.0186383888822736,1.0419288288632864,1656,3028.3393947998993
0.005,drop 2020-21,1.0705460373521203,0.7101850089024397,1.02744782034942,1.0403641293784573,1656,26.926968700019643
0.003,drop 2020-21,1.0706771758832447,0.7063784623428756,1.0204348308810527,1.0399385641967915,1656,32.90465449995827
0.0005,drop 2020-21,1.0707697879018128,0.7041921612483515,1.020763735307927,1.0531948737377212,1656,23.084122900036164
