soft_book,market,n_bets,n_void,n_missing_close,roi,roi_ci_low,roi_ci_high,mean_clv,clv_ci_low,clv_ci_high,p_raw,holm_p,passes,n_ge_300
average,1X2,1,0,0,-1.0,-1.0,-1.0,0.21135402221613653,0.21135402221613653,0.21135402221613653,0.0,0.0,False,0
average,OU2.5,8,0,0,-0.009999999999999953,-1.0,1.3065044642856944,0.10422857287296095,0.0631202976169094,0.14247289206491265,0.0,0.0,False,0
b365,1X2,273,0,0,-0.03549450549450548,-0.23902789947669464,0.17705943657384773,0.019447658355335313,0.007408545117797395,0.03143089399165026,0.0,0.0,False,0
b365,AH,7,0,0,-0.18428571428571436,-0.7314285714285714,0.3742857142857142,0.059076094141265766,-0.02871509395300098,0.1506146514623173,0.1235,0.1235,False,0
b365,OU2.5,11,0,0,-0.0972727272727273,-0.8745499999999999,0.986,0.11204233982641573,0.07367146860893158,0.15073315075058147,0.0,0.1235,False,0
