source,bin,n,hit_rate,ci_low,ci_high,mean_odds,break_even,clears
market avg 1X2 home,0.0-0.1,5,0.4,0.1176182311592533,0.769280067791163,6.287999999999999,0.17344811647124309,False
market avg 1X2 home,0.1-0.2,130,0.15384615384615385,0.101853111526678,0.22571021706473152,4.519384615384615,0.2389465595663994,False
market avg 1X2 home,0.2-0.3,422,0.3127962085308057,0.27041687422810057,0.35855314654957826,3.4072037914691946,0.3079892087771283,False
market avg 1X2 home,0.3-0.4,819,0.3772893772893773,0.3447382329824239,0.410986319592458,2.7017338217338214,0.38804019026090364,False
market avg 1X2 home,0.4-0.5,906,0.4359823399558499,0.4040293962604553,0.468475883779499,2.234801324503311,0.45874740730796304,False
market avg 1X2 home,0.5-0.6,528,0.5284090909090909,0.48577732316844613,0.5706304493713477,1.9051893939393938,0.5354832869167727,False
market avg 1X2 home,0.6-0.7,262,0.5992366412213741,0.5388753173730818,0.6567298851234424,1.6231679389312976,0.6269973115435755,False
market avg 1X2 home,0.7-0.8,80,0.725,0.618557347158301,0.8108237715226401,1.487375,0.6800046618557473,False
market avg 1X2 home,0.8-0.9,7,1.0,0.6456611570247934,1.0,1.3399999999999999,0.7482127050253512,False
market avg 1X2 draw,0.1-0.2,163,0.2085889570552147,0.15328227961519503,0.2773153650969151,4.37239263803681,0.2333271937501789,False
market avg 1X2 draw,0.2-0.3,2707,0.2659770964166975,0.24967203420885153,0.2829454377968902,3.4843849279645362,0.28879593833486444,False
market avg 1X2 draw,0.3-0.4,289,0.24567474048442905,0.1995923781692639,0.29842976076181693,3.296989619377163,0.3054248649649953,False
market avg 1X2 away,0.0-0.1,68,0.07352941176470588,0.03181437515487155,0.160853939581994,7.352941176470587,0.15006781875662858,False
market avg 1X2 away,0.1-0.2,499,0.1623246492985972,0.13257057496937083,0.19723825548538862,5.301122244488978,0.20486144493352704,False
market avg 1X2 away,0.2-0.3,1013,0.26554787759131293,0.2392746377603845,0.2935926249479861,3.6209575518262587,0.2896911731618944,False
market avg 1X2 away,0.3-0.4,909,0.3278327832783278,0.29809619469477533,0.3590184679148164,2.867920792079208,0.3620813049997061,False
market avg 1X2 away,0.4-0.5,423,0.4326241134751773,0.38622489619013944,0.4802361047994548,2.3432624113475176,0.43938219521625743,False
market avg 1X2 away,0.5-0.6,188,0.5478723404255319,0.4764776316196176,0.6173497759916616,2.0238829787234045,0.516291666549892,False
market avg 1X2 away,0.6-0.7,53,0.6037735849056604,0.4694123578888073,0.7241078808096105,1.7850943396226415,0.57391942688911,False
market avg 1X2 away,0.7-0.8,6,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.5883333333333336,0.6393564090057188,False
market avg O/U over,0.1-0.2,1,0.0,0.0,0.7934567085261071,2.2,0.45454545454545453,False
market avg O/U over,0.2-0.3,45,0.5333333333333333,0.3907720886241046,0.6706509605798527,2.242888888888889,0.44895896695642046,False
market avg O/U over,0.3-0.4,520,0.47307692307692306,0.43051805543831423,0.5160306722686873,2.1067115384615387,0.4772064435588161,False
market avg O/U over,0.4-0.5,1391,0.4852624011502516,0.4590743723564721,0.5115316089965359,1.9929834651329976,0.504011619996695,False
market avg O/U over,0.5-0.6,965,0.48808290155440415,0.45665435394076886,0.5196059552779928,1.8647564766839377,0.538461746030695,False
market avg O/U over,0.6-0.7,218,0.481651376146789,0.41621589673099213,0.5477223366751861,1.7875688073394498,0.5618600730691063,False
market avg O/U over,0.7-0.8,19,0.5789473684210527,0.36275551465160105,0.7685837960796962,1.7368421052631582,0.5782511640047913,False
market avg O/U under,0.2-0.3,19,0.42105263157894735,0.2314162039203038,0.6372444853483988,2.089473684210526,0.48137169361378385,False
market avg O/U under,0.3-0.4,218,0.518348623853211,0.45227766332481395,0.583784103269008,2.0160091743119266,0.4985252938260622,False
market avg O/U under,0.4-0.5,965,0.5119170984455959,0.4803940447220071,0.5433456460592311,1.9267668393782382,0.5212915752397398,False
market avg O/U under,0.5-0.6,1391,0.5147375988497483,0.488468391003464,0.5409256276435279,1.8057584471603163,0.5560174564085464,False
